codim: 6, face: 1/25, weights: [-3, -3, -3, 0, 1, 0], discriminant: m2
codim: 6, face: 2/25, weights: [-2, -3, 0, -2, 0, 1], discriminant: m2
codim: 6, face: 3/25, weights: [-2, -2, 1, 0, -1, 1], discriminant: m2
codim: 6, face: 4/25, weights: [-3, -2, 0, 1, 1, -2], discriminant: m2
codim: 6, face: 5/25, weights: [-3, -1, -4, -3, -1, -1], discriminant: s23
codim: 6, face: 6/25, weights: [-3, 0, -3, -1, -2, -1], discriminant: s51
codim: 6, face: 7/25, weights: [-1, 2, 0, 3, 3, 2], discriminant: 1
codim: 6, face: 8/25, weights: [-2, 1, 0, -2, -1, -3], discriminant: s45
codim: 6, face: 9/25, weights: [1, 3, 4, 1, 2, 3], discriminant: 1
codim: 6, face: 10/25, weights: [-2, 1, 0, -1, -2, -3], discriminant: m5
codim: 6, face: 11/25, weights: [1, 3, 4, 2, 1, 3], discriminant: 1
codim: 6, face: 12/25, weights: [0, 3, 3, 3, 3, 0], discriminant: 1
codim: 6, face: 13/25, weights: [0, -3, -3, -2, -2, 0], discriminant: s34
codim: 6, face: 14/25, weights: [-1, -3, -4, -1, 0, -3], discriminant: s12
codim: 6, face: 15/25, weights: [2, -1, 0, 2, 3, 3], discriminant: 1
codim: 6, face: 16/25, weights: [1, -2, 0, -3, -1, -2], discriminant: s45
codim: 6, face: 17/25, weights: [3, 0, 3, 0, 2, 3], discriminant: 1
codim: 6, face: 18/25, weights: [1, -1, 1, -1, -2, -2], discriminant: m5
codim: 6, face: 19/25, weights: [3, 1, 4, 2, 1, 3], discriminant: 1
codim: 6, face: 20/25, weights: [3, 1, 4, 3, 3, 1], discriminant: 1
codim: 6, face: 21/25, weights: [0, 0, -3, -3, -1, -3], discriminant: s45
codim: 6, face: 22/25, weights: [3, 2, 0, -1, 1, 2], discriminant: 1
codim: 6, face: 23/25, weights: [0, 1, -2, -1, -2, -3], discriminant: m5
codim: 6, face: 24/25, weights: [3, 3, 1, 1, 0, 2], discriminant: 1
codim: 6, face: 25/25, weights: [2, 3, 0, 2, 2, -1], discriminant: 1
codim: 5, face: 1/113, weights: [-2, -3, -1, -1, 1, 1], discriminant: m2
codim: 5, face: 2/113, weights: [-2, -2, 0, 1, 0, 1], discriminant: m2
codim: 5, face: 3/113, weights: [-3, -2, -1, 1, 1, -1], discriminant: m2
codim: 5, face: 4/113, weights: [-3, -2, -4, -2, 0, -1], discriminant: 1
codim: 5, face: 5/113, weights: [-3, -1, -3, 0, -1, -1], discriminant: 1
codim: 5, face: 6/113, weights: [-2, 0, -1, 2, 2, 1], discriminant: 1
codim: 5, face: 7/113, weights: [-1, -3, -3, -1, -1, 0], discriminant: 1
codim: 5, face: 8/113, weights: [-2, -3, -4, -1, 0, -2], discriminant: 1
codim: 5, face: 9/113, weights: [0, -2, -1, 1, 2, 2], discriminant: 1
codim: 5, face: 10/113, weights: [-2, -2, 1, -1, -1, 1], discriminant: m2
codim: 5, face: 11/113, weights: [-2, -2, 1, 0, 1, 0], discriminant: m2
codim: 5, face: 12/113, weights: [-2, -2, -2, -3, -1, 0], discriminant: 1
