codim: 6, face: 1/12, weights: [-1, 0, 0, 0, 0, 0], discriminant: M1
codim: 6, face: 2/12, weights: [1, 2, 2, 2, 2, 2], discriminant: 1
codim: 6, face: 3/12, weights: [0, -1, 0, 0, 0, 0], discriminant: M2
codim: 6, face: 4/12, weights: [2, 1, 2, 2, 2, 2], discriminant: 1
codim: 6, face: 5/12, weights: [0, 0, -1, 0, 0, 0], discriminant: M3
codim: 6, face: 6/12, weights: [2, 2, 1, 2, 2, 2], discriminant: 1
codim: 6, face: 7/12, weights: [0, 0, 0, -1, 0, 0], discriminant: M4
codim: 6, face: 8/12, weights: [2, 2, 2, 1, 2, 2], discriminant: 1
codim: 6, face: 9/12, weights: [0, 0, 0, 0, -1, 0], discriminant: M5
codim: 6, face: 10/12, weights: [2, 2, 2, 2, 1, 2], discriminant: 1
codim: 6, face: 11/12, weights: [0, 0, 0, 0, 0, -1], discriminant: M6
codim: 6, face: 12/12, weights: [2, 2, 2, 2, 2, 1], discriminant: 1
codim: 5, face: 1/36, weights: [0, 1, 1, 1, 1, 1], discriminant: 1
codim: 5, face: 2/36, weights: [-1, -1, 0, 0, 0, 0], discriminant: M1^2 - 2*M1*M2 + M1*m2 - 2*M2^2 - 2*M2*m2 + m2^2
codim: 5, face: 3/36, weights: [-1, 0, -1, 0, 0, 0], discriminant: M1^2 - 2*M1*M3 + M1*s23 - 2*M3^2 - 2*M3*s23 + s23^2
codim: 5, face: 4/36, weights: [-1, 0, 0, -1, 0, 0], discriminant: M1^2 - 2*M1*M4 + M1*s234 - 2*M4^2 - 2*M4*s234 + s234^2
codim: 5, face: 5/36, weights: [-1, 0, 0, 0, -1, 0], discriminant: M1^2 - 2*M1*M5 + M1*s61 - 2*M5^2 - 2*M5*s61 + s61^2
codim: 5, face: 6/36, weights: [-1, 0, 0, 0, 0, -1], discriminant: M1^2 - 2*M1*M6 + M1*m1 - 2*M6^2 - 2*M6*m1 + m1^2
codim: 5, face: 7/36, weights: [1, 1, 2, 2, 2, 2], discriminant: 1
codim: 5, face: 8/36, weights: [1, 2, 1, 2, 2, 2], discriminant: 1
codim: 5, face: 9/36, weights: [1, 2, 2, 1, 2, 2], discriminant: 1
codim: 5, face: 10/36, weights: [1, 2, 2, 2, 1, 2], discriminant: 1
codim: 5, face: 11/36, weights: [1, 2, 2, 2, 2, 1], discriminant: 1
codim: 5, face: 12/36, weights: [1, 0, 1, 1, 1, 1], discriminant: 1
codim: 5, face: 13/36, weights: [0, -1, -1, 0, 0, 0], discriminant: M2^2 - 2*M2*M3 + M2*m3 - 2*M3^2 - 2*M3*m3 + m3^2
codim: 5, face: 14/36, weights: [0, -1, 0, -1, 0, 0], discriminant: M2^2 - 2*M2*M4 + M2*s34 - 2*M4^2 - 2*M4*s34 + s34^2
codim: 5, face: 15/36, weights: [0, -1, 0, 0, -1, 0], discriminant: M2^2 - 2*M2*M5 + M2*s345 - 2*M5^2 - 2*M5*s345 + s345^2
codim: 5, face: 16/36, weights: [0, -1, 0, 0, 0, -1], discriminant: M2^2 - 2*M2*M6 + M2*s12 - 2*M6^2 - 2*M6*s12 + s12^2
codim: 5, face: 17/36, weights: [2, 1, 1, 2, 2, 2], discriminant: 1
codim: 5, face: 18/36, weights: [2, 1, 2, 1, 2, 2], discriminant: 1
codim: 5, face: 19/36, weights: [2, 1, 2, 2, 1, 2], discriminant: 1
codim: 5, face: 20/36, weights: [2, 1, 2, 2, 2, 1], discriminant: 1
codim: 5, face: 21/36, weights: [1, 1, 0, 1, 1, 1], discriminant: 1
codim: 5, face: 22/36, weights: [0, 0, -1, -1, 0, 0], discriminant: M3^2 - 2*M3*M4 + M3*m4 - 2*M4^2 - 2*M4*m4 + m4^2
codim: 5, face: 23/36, weights: [0, 0, -1, 0, -1, 0], discriminant: M3^2 - 2*M3*M5 + M3*s45 - 2*M5^2 - 2*M5*s45 + s45^2
codim: 5, face: 24/36, weights: [0, 0, -1, 0, 0, -1], discriminant: M3^2 - 2*M3*M6 + M3*s123 - 2*M6^2 - 2*M6*s123 + s123^2
codim: 5, face: 25/36, weights: [2, 2, 1, 1, 2, 2], discriminant: 1
codim: 5, face: 26/36, weights: [2, 2, 1, 2, 1, 2], discriminant: 1
codim: 5, face: 27/36, weights: [2, 2, 1, 2, 2, 1], discriminant: 1
codim: 5, face: 28/36, weights: [1, 1, 1, 0, 1, 1], discriminant: 1
codim: 5, face: 29/36, weights: [0, 0, 0, -1, -1, 0], discriminant: M4^2 - 2*M4*M5 + M4*m5 - 2*M5^2 - 2*M5*m5 + m5^2
codim: 5, face: 30/36, weights: [0, 0, 0, -1, 0, -1], discriminant: M4^2 - 2*M4*M6 + M4*s56 - 2*M6^2 - 2*M6*s56 + s56^2
codim: 5, face: 31/36, weights: [2, 2, 2, 1, 1, 2], discriminant: 1
codim: 5, face: 32/36, weights: [2, 2, 2, 1, 2, 1], discriminant: 1
codim: 5, face: 33/36, weights: [1, 1, 1, 1, 0, 1], discriminant: 1
codim: 5, face: 34/36, weights: [0, 0, 0, 0, -1, -1], discriminant: M5^2 - 2*M5*M6 + M5*m6 - 2*M6^2 - 2*M6*m6 + m6^2
codim: 5, face: 35/36, weights: [2, 2, 2, 2, 1, 1], discriminant: 1
codim: 5, face: 36/36, weights: [1, 1, 1, 1, 1, 0], discriminant: 1
codim: 4, face: 1/55, weights: [0, 0, 1, 1, 1, 1], discriminant: m2
codim: 4, face: 2/55, weights: [0, 1, 0, 1, 1, 1], discriminant: s23
codim: 4, face: 3/55, weights: [0, 1, 1, 0, 1, 1], discriminant: s234
codim: 4, face: 4/55, weights: [0, 1, 1, 1, 0, 1], discriminant: s61
codim: 4, face: 5/55, weights: [0, 1, 1, 1, 1, 0], discriminant: m1
