codim: 6, face: 1/21, weights: [-2, -2, 0, 0, 0, 0], discriminant: m2
codim: 6, face: 2/21, weights: [-2, 0, -2, 0, 0, 0], discriminant: s23
codim: 6, face: 3/21, weights: [-2, 0, 0, -2, 0, 0], discriminant: s234
codim: 6, face: 4/21, weights: [-2, 0, 0, 0, -2, 0], discriminant: s61
codim: 6, face: 5/21, weights: [-2, 0, 0, 0, 0, -2], discriminant: m1
codim: 6, face: 6/21, weights: [0, 2, 2, 2, 2, 2], discriminant: 1
codim: 6, face: 7/21, weights: [0, -2, -2, 0, 0, 0], discriminant: m3
codim: 6, face: 8/21, weights: [0, -2, 0, -2, 0, 0], discriminant: s34
codim: 6, face: 9/21, weights: [0, -2, 0, 0, -2, 0], discriminant: s345
codim: 6, face: 10/21, weights: [0, -2, 0, 0, 0, -2], discriminant: s12
codim: 6, face: 11/21, weights: [2, 0, 2, 2, 2, 2], discriminant: 1
codim: 6, face: 12/21, weights: [0, 0, -2, -2, 0, 0], discriminant: m4
codim: 6, face: 13/21, weights: [0, 0, -2, 0, -2, 0], discriminant: s45
codim: 6, face: 14/21, weights: [0, 0, -2, 0, 0, -2], discriminant: s123
codim: 6, face: 15/21, weights: [2, 2, 0, 2, 2, 2], discriminant: 1
codim: 6, face: 16/21, weights: [0, 0, 0, -2, -2, 0], discriminant: m5
codim: 6, face: 17/21, weights: [0, 0, 0, -2, 0, -2], discriminant: s56
codim: 6, face: 18/21, weights: [2, 2, 2, 0, 2, 2], discriminant: 1
codim: 6, face: 19/21, weights: [0, 0, 0, 0, -2, -2], discriminant: m6
codim: 6, face: 20/21, weights: [2, 2, 2, 2, 0, 2], discriminant: 1
codim: 6, face: 21/21, weights: [2, 2, 2, 2, 2, 0], discriminant: 1
codim: 5, face: 1/105, weights: [-2, -1, -1, 0, 0, 0], discriminant: 1
codim: 5, face: 2/105, weights: [-2, -1, 0, -1, 0, 0], discriminant: 1
codim: 5, face: 3/105, weights: [-2, -1, 0, 0, -1, 0], discriminant: 1
codim: 5, face: 4/105, weights: [-2, -1, 0, 0, 0, -1], discriminant: 1
codim: 5, face: 5/105, weights: [-1, 0, 1, 1, 1, 1], discriminant: 1
codim: 5, face: 6/105, weights: [-1, -2, -1, 0, 0, 0], discriminant: 1
codim: 5, face: 7/105, weights: [-1, -2, 0, -1, 0, 0], discriminant: 1
codim: 5, face: 8/105, weights: [-1, -2, 0, 0, -1, 0], discriminant: 1
codim: 5, face: 9/105, weights: [-1, -2, 0, 0, 0, -1], discriminant: 1
codim: 5, face: 10/105, weights: [0, -1, 1, 1, 1, 1], discriminant: 1
codim: 5, face: 11/105, weights: [-2, 0, -1, -1, 0, 0], discriminant: 1
codim: 5, face: 12/105, weights: [-2, 0, -1, 0, -1, 0], discriminant: 1
codim: 5, face: 13/105, weights: [-2, 0, -1, 0, 0, -1], discriminant: 1
codim: 5, face: 14/105, weights: [-1, 1, 0, 1, 1, 1], discriminant: 1
codim: 5, face: 15/105, weights: [-1, -1, -2, 0, 0, 0], discriminant: 1
codim: 5, face: 16/105, weights: [-1, 0, -2, -1, 0, 0], discriminant: 1
codim: 5, face: 17/105, weights: [-1, 0, -2, 0, -1, 0], discriminant: 1
codim: 5, face: 18/105, weights: [-1, 0, -2, 0, 0, -1], discriminant: 1
codim: 5, face: 19/105, weights: [0, 1, -1, 1, 1, 1], discriminant: 1
codim: 5, face: 20/105, weights: [-2, 0, 0, -1, -1, 0], discriminant: 1
codim: 5, face: 21/105, weights: [-2, 0, 0, -1, 0, -1], discriminant: 1
codim: 5, face: 22/105, weights: [-1, 1, 1, 0, 1, 1], discriminant: 1
codim: 5, face: 23/105, weights: [-1, -1, 0, -2, 0, 0], discriminant: 1
codim: 5, face: 24/105, weights: [-1, 0, -1, -2, 0, 0], discriminant: 1
codim: 5, face: 25/105, weights: [-1, 0, 0, -2, -1, 0], discriminant: 1
codim: 5, face: 26/105, weights: [-1, 0, 0, -2, 0, -1], discriminant: 1
codim: 5, face: 27/105, weights: [0, 1, 1, -1, 1, 1], discriminant: 1
codim: 5, face: 28/105, weights: [-2, 0, 0, 0, -1, -1], discriminant: 1
codim: 5, face: 29/105, weights: [-1, 1, 1, 1, 0, 1], discriminant: 1
codim: 5, face: 30/105, weights: [-1, -1, 0, 0, -2, 0], discriminant: 1
codim: 5, face: 31/105, weights: [-1, 0, -1, 0, -2, 0], discriminant: 1
codim: 5, face: 32/105, weights: [-1, 0, 0, -1, -2, 0], discriminant: 1
codim: 5, face: 33/105, weights: [-1, 0, 0, 0, -2, -1], discriminant: 1
codim: 5, face: 34/105, weights: [0, 1, 1, 1, -1, 1], discriminant: 1
codim: 5, face: 35/105, weights: [-1, 1, 1, 1, 1, 0], discriminant: 1
codim: 5, face: 36/105, weights: [-1, -1, 0, 0, 0, -2], discriminant: 1
codim: 5, face: 37/105, weights: [-1, 0, -1, 0, 0, -2], discriminant: 1
codim: 5, face: 38/105, weights: [-1, 0, 0, -1, 0, -2], discriminant: 1
codim: 5, face: 39/105, weights: [-1, 0, 0, 0, -1, -2], discriminant: 1
codim: 5, face: 40/105, weights: [0, 1, 1, 1, 1, -1], discriminant: 1
codim: 5, face: 41/105, weights: [1, 1, 2, 2, 2, 2], discriminant: 1
codim: 5, face: 42/105, weights: [1, 2, 1, 2, 2, 2], discriminant: 1
codim: 5, face: 43/105, weights: [1, 2, 2, 1, 2, 2], discriminant: 1
codim: 5, face: 44/105, weights: [1, 2, 2, 2, 1, 2], discriminant: 1
codim: 5, face: 45/105, weights: [1, 2, 2, 2, 2, 1], discriminant: 1
codim: 5, face: 46/105, weights: [0, -2, -1, -1, 0, 0], discriminant: 1
codim: 5, face: 47/105, weights: [0, -2, -1, 0, -1, 0], discriminant: 1
codim: 5, face: 48/105, weights: [0, -2, -1, 0, 0, -1], discriminant: 1
codim: 5, face: 49/105, weights: [1, -1, 0, 1, 1, 1], discriminant: 1
codim: 5, face: 50/105, weights: [0, -1, -2, -1, 0, 0], discriminant: 1
codim: 5, face: 51/105, weights: [0, -1, -2, 0, -1, 0], discriminant: 1
codim: 5, face: 52/105, weights: [0, -1, -2, 0, 0, -1], discriminant: 1
codim: 5, face: 53/105, weights: [1, 0, -1, 1, 1, 1], discriminant: 1
codim: 5, face: 54/105, weights: [0, -2, 0, -1, -1, 0], discriminant: 1
codim: 5, face: 55/105, weights: [0, -2, 0, -1, 0, -1], discriminant: 1
codim: 5, face: 56/105, weights: [1, -1, 1, 0, 1, 1], discriminant: 1
codim: 5, face: 57/105, weights: [0, -1, -1, -2, 0, 0], discriminant: 1
codim: 5, face: 58/105, weights: [0, -1, 0, -2, -1, 0], discriminant: 1
codim: 5, face: 59/105, weights: [0, -1, 0, -2, 0, -1], discriminant: 1
codim: 5, face: 60/105, weights: [1, 0, 1, -1, 1, 1], discriminant: 1
codim: 5, face: 61/105, weights: [0, -2, 0, 0, -1, -1], discriminant: 1
codim: 5, face: 62/105, weights: [1, -1, 1, 1, 0, 1], discriminant: 1
codim: 5, face: 63/105, weights: [0, -1, -1, 0, -2, 0], discriminant: 1
codim: 5, face: 64/105, weights: [0, -1, 0, -1, -2, 0], discriminant: 1
codim: 5, face: 65/105, weights: [0, -1, 0, 0, -2, -1], discriminant: 1
codim: 5, face: 66/105, weights: [1, 0, 1, 1, -1, 1], discriminant: 1
codim: 5, face: 67/105, weights: [1, -1, 1, 1, 1, 0], discriminant: 1
codim: 5, face: 68/105, weights: [0, -1, -1, 0, 0, -2], discriminant: 1
codim: 5, face: 69/105, weights: [0, -1, 0, -1, 0, -2], discriminant: 1
codim: 5, face: 70/105, weights: [0, -1, 0, 0, -1, -2], discriminant: 1
codim: 5, face: 71/105, weights: [1, 0, 1, 1, 1, -1], discriminant: 1
codim: 5, face: 72/105, weights: [2, 1, 1, 2, 2, 2], discriminant: 1
codim: 5, face: 73/105, weights: [2, 1, 2, 1, 2, 2], discriminant: 1
codim: 5, face: 74/105, weights: [2, 1, 2, 2, 1, 2], discriminant: 1
codim: 5, face: 75/105, weights: [2, 1, 2, 2, 2, 1], discriminant: 1
codim: 5, face: 76/105, weights: [0, 0, -2, -1, -1, 0], discriminant: 1
codim: 5, face: 77/105, weights: [0, 0, -2, -1, 0, -1], discriminant: 1
codim: 5, face: 78/105, weights: [1, 1, -1, 0, 1, 1], discriminant: 1
codim: 5, face: 79/105, weights: [0, 0, -1, -2, -1, 0], discriminant: 1
codim: 5, face: 80/105, weights: [0, 0, -1, -2, 0, -1], discriminant: 1
codim: 5, face: 81/105, weights: [1, 1, 0, -1, 1, 1], discriminant: 1
codim: 5, face: 82/105, weights: [0, 0, -2, 0, -1, -1], discriminant: 1
codim: 5, face: 83/105, weights: [1, 1, -1, 1, 0, 1], discriminant: 1
codim: 5, face: 84/105, weights: [0, 0, -1, -1, -2, 0], discriminant: 1
codim: 5, face: 85/105, weights: [0, 0, -1, 0, -2, -1], discriminant: 1
codim: 5, face: 86/105, weights: [1, 1, 0, 1, -1, 1], discriminant: 1
codim: 5, face: 87/105, weights: [1, 1, -1, 1, 1, 0], discriminant: 1
codim: 5, face: 88/105, weights: [0, 0, -1, -1, 0, -2], discriminant: 1
codim: 5, face: 89/105, weights: [0, 0, -1, 0, -1, -2], discriminant: 1
codim: 5, face: 90/105, weights: [1, 1, 0, 1, 1, -1], discriminant: 1
codim: 5, face: 91/105, weights: [2, 2, 1, 1, 2, 2], discriminant: 1
codim: 5, face: 92/105, weights: [2, 2, 1, 2, 1, 2], discriminant: 1
codim: 5, face: 93/105, weights: [2, 2, 1, 2, 2, 1], discriminant: 1
codim: 5, face: 94/105, weights: [0, 0, 0, -2, -1, -1], discriminant: 1
codim: 5, face: 95/105, weights: [1, 1, 1, -1, 0, 1], discriminant: 1
codim: 5, face: 96/105, weights: [0, 0, 0, -1, -2, -1], discriminant: 1
codim: 5, face: 97/105, weights: [1, 1, 1, 0, -1, 1], discriminant: 1
codim: 5, face: 98/105, weights: [1, 1, 1, -1, 1, 0], discriminant: 1
codim: 5, face: 99/105, weights: [0, 0, 0, -1, -1, -2], discriminant: 1
codim: 5, face: 100/105, weights: [1, 1, 1, 0, 1, -1], discriminant: 1
codim: 5, face: 101/105, weights: [2, 2, 2, 1, 1, 2], discriminant: 1
codim: 5, face: 102/105, weights: [2, 2, 2, 1, 2, 1], discriminant: 1
codim: 5, face: 103/105, weights: [1, 1, 1, 1, -1, 0], discriminant: 1
codim: 5, face: 104/105, weights: [1, 1, 1, 1, 0, -1], discriminant: 1
codim: 5, face: 105/105, weights: [2, 2, 2, 2, 1, 1], discriminant: 1
codim: 4, face: 1/175, weights: [-2, -1, -1, -1, 0, 0], discriminant: 1
codim: 4, face: 2/175, weights: [-2, -1, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 3/175, weights: [-2, -1, -1, 0, 0, -1], discriminant: 1
codim: 4, face: 4/175, weights: [-1, 0, 0, 1, 1, 1], discriminant: 1
codim: 4, face: 5/175, weights: [-1, -1, -1, 0, 0, 0], discriminant: 1
codim: 4, face: 6/175, weights: [-2, -1, 0, -1, -1, 0], discriminant: 1
codim: 4, face: 7/175, weights: [-2, -1, 0, -1, 0, -1], discriminant: 1
codim: 4, face: 8/175, weights: [-1, 0, 1, 0, 1, 1], discriminant: 1
codim: 4, face: 9/175, weights: [-1, -1, 0, -1, 0, 0], discriminant: 1
codim: 4, face: 10/175, weights: [-2, -1, 0, 0, -1, -1], discriminant: 1
codim: 4, face: 11/175, weights: [-1, 0, 1, 1, 0, 1], discriminant: 1
codim: 4, face: 12/175, weights: [-1, -1, 0, 0, -1, 0], discriminant: 1
codim: 4, face: 13/175, weights: [-1, 0, 1, 1, 1, 0], discriminant: 1
codim: 4, face: 14/175, weights: [-1, -1, 0, 0, 0, -1], discriminant: 1
codim: 4, face: 15/175, weights: [0, 0, 1, 1, 1, 1], discriminant: 1
codim: 4, face: 16/175, weights: [-1, -2, -1, -1, 0, 0], discriminant: 1
codim: 4, face: 17/175, weights: [-1, -2, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 18/175, weights: [-1, -2, -1, 0, 0, -1], discriminant: 1
codim: 4, face: 19/175, weights: [0, -1, 0, 1, 1, 1], discriminant: 1
codim: 4, face: 20/175, weights: [-1, -2, 0, -1, -1, 0], discriminant: 1
codim: 4, face: 21/175, weights: [-1, -2, 0, -1, 0, -1], discriminant: 1
codim: 4, face: 22/175, weights: [0, -1, 1, 0, 1, 1], discriminant: 1
codim: 4, face: 23/175, weights: [-1, -2, 0, 0, -1, -1], discriminant: 1
codim: 4, face: 24/175, weights: [0, -1, 1, 1, 0, 1], discriminant: 1
codim: 4, face: 25/175, weights: [0, -1, 1, 1, 1, 0], discriminant: 1
codim: 4, face: 26/175, weights: [-2, 0, -1, -1, -1, 0], discriminant: 1
codim: 4, face: 27/175, weights: [-2, 0, -1, -1, 0, -1], discriminant: 1
codim: 4, face: 28/175, weights: [-1, 1, 0, 0, 1, 1], discriminant: 1
codim: 4, face: 29/175, weights: [-1, 0, -1, -1, 0, 0], discriminant: 1
codim: 4, face: 30/175, weights: [-2, 0, -1, 0, -1, -1], discriminant: 1
codim: 4, face: 31/175, weights: [-1, 1, 0, 1, 0, 1], discriminant: 1
codim: 4, face: 32/175, weights: [-1, 0, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 33/175, weights: [-1, 1, 0, 1, 1, 0], discriminant: 1
codim: 4, face: 34/175, weights: [-1, 0, -1, 0, 0, -1], discriminant: 1
codim: 4, face: 35/175, weights: [0, 1, 0, 1, 1, 1], discriminant: 1
codim: 4, face: 36/175, weights: [-1, -1, -2, -1, 0, 0], discriminant: 1
codim: 4, face: 37/175, weights: [-1, -1, -2, 0, -1, 0], discriminant: 1
codim: 4, face: 38/175, weights: [-1, -1, -2, 0, 0, -1], discriminant: 1
codim: 4, face: 39/175, weights: [0, 0, -1, 1, 1, 1], discriminant: 1
codim: 4, face: 40/175, weights: [-1, 0, -2, -1, -1, 0], discriminant: 1
codim: 4, face: 41/175, weights: [-1, 0, -2, -1, 0, -1], discriminant: 1
codim: 4, face: 42/175, weights: [0, 1, -1, 0, 1, 1], discriminant: 1
codim: 4, face: 43/175, weights: [-1, 0, -2, 0, -1, -1], discriminant: 1
codim: 4, face: 44/175, weights: [0, 1, -1, 1, 0, 1], discriminant: 1
codim: 4, face: 45/175, weights: [0, 1, -1, 1, 1, 0], discriminant: 1
codim: 4, face: 46/175, weights: [-2, 0, 0, -1, -1, -1], discriminant: 1
codim: 4, face: 47/175, weights: [-1, 1, 1, 0, 0, 1], discriminant: 1
codim: 4, face: 48/175, weights: [-1, 0, 0, -1, -1, 0], discriminant: 1
codim: 4, face: 49/175, weights: [-1, 1, 1, 0, 1, 0], discriminant: 1
codim: 4, face: 50/175, weights: [-1, 0, 0, -1, 0, -1], discriminant: 1
codim: 4, face: 51/175, weights: [0, 1, 1, 0, 1, 1], discriminant: 1
codim: 4, face: 52/175, weights: [-1, -1, -1, -2, 0, 0], discriminant: 1
codim: 4, face: 53/175, weights: [-1, -1, 0, -2, -1, 0], discriminant: 1
codim: 4, face: 54/175, weights: [-1, -1, 0, -2, 0, -1], discriminant: 1
codim: 4, face: 55/175, weights: [0, 0, 1, -1, 1, 1], discriminant: 1
codim: 4, face: 56/175, weights: [-1, 0, -1, -2, -1, 0], discriminant: 1
codim: 4, face: 57/175, weights: [-1, 0, -1, -2, 0, -1], discriminant: 1
codim: 4, face: 58/175, weights: [0, 1, 0, -1, 1, 1], discriminant: 1
codim: 4, face: 59/175, weights: [-1, 0, 0, -2, -1, -1], discriminant: 1
codim: 4, face: 60/175, weights: [0, 1, 1, -1, 0, 1], discriminant: 1
codim: 4, face: 61/175, weights: [0, 1, 1, -1, 1, 0], discriminant: 1
codim: 4, face: 62/175, weights: [-1, 1, 1, 1, 0, 0], discriminant: 1
codim: 4, face: 63/175, weights: [-1, 0, 0, 0, -1, -1], discriminant: 1
codim: 4, face: 64/175, weights: [0, 1, 1, 1, 0, 1], discriminant: 1
codim: 4, face: 65/175, weights: [-1, -1, -1, 0, -2, 0], discriminant: 1
codim: 4, face: 66/175, weights: [-1, -1, 0, -1, -2, 0], discriminant: 1
codim: 4, face: 67/175, weights: [-1, -1, 0, 0, -2, -1], discriminant: 1
codim: 4, face: 68/175, weights: [0, 0, 1, 1, -1, 1], discriminant: 1
codim: 4, face: 69/175, weights: [-1, 0, -1, -1, -2, 0], discriminant: 1
codim: 4, face: 70/175, weights: [-1, 0, -1, 0, -2, -1], discriminant: 1
codim: 4, face: 71/175, weights: [0, 1, 0, 1, -1, 1], discriminant: 1
codim: 4, face: 72/175, weights: [-1, 0, 0, -1, -2, -1], discriminant: 1
codim: 4, face: 73/175, weights: [0, 1, 1, 0, -1, 1], discriminant: 1
