codim: 6, face: 1/15, weights: [-3, -2, -3, -1, 0, -1], discriminant: s23
codim: 6, face: 2/15, weights: [-3, -1, -1, -3, -1, -1], discriminant: s234
codim: 6, face: 3/15, weights: [-3, -1, 0, -1, -3, -2], discriminant: s61
codim: 6, face: 4/15, weights: [-1, 1, 2, 2, 2, 1], discriminant: 1
codim: 6, face: 5/15, weights: [-1, -3, -2, -3, -1, 0], discriminant: s34
codim: 6, face: 6/15, weights: [-1, -3, -1, -1, -3, -1], discriminant: s345
codim: 6, face: 7/15, weights: [-2, -3, -1, 0, -1, -3], discriminant: s12
codim: 6, face: 8/15, weights: [1, -1, 1, 2, 2, 2], discriminant: 1
codim: 6, face: 9/15, weights: [0, -1, -3, -2, -3, -1], discriminant: s45
codim: 6, face: 10/15, weights: [-1, -1, -3, -1, -1, -3], discriminant: s123
codim: 6, face: 11/15, weights: [2, 1, -1, 1, 2, 2], discriminant: 1
codim: 6, face: 12/15, weights: [-1, 0, -1, -3, -2, -3], discriminant: s56
codim: 6, face: 13/15, weights: [2, 2, 1, -1, 1, 2], discriminant: 1
codim: 6, face: 14/15, weights: [2, 2, 2, 1, -1, 1], discriminant: 1
codim: 6, face: 15/15, weights: [1, 2, 2, 2, 1, -1], discriminant: 1
codim: 5, face: 1/69, weights: [-3, -1, -2, -2, 0, -1], discriminant: 1
codim: 5, face: 2/69, weights: [-3, -1, -1, 0, -1, -1], discriminant: 1
codim: 5, face: 3/69, weights: [-2, 0, 0, 1, 1, 0], discriminant: 1
codim: 5, face: 4/69, weights: [-2, -3, -3, -2, 0, 0], discriminant: 1
codim: 5, face: 5/69, weights: [-2, -3, -2, 0, -1, 0], discriminant: 1
codim: 5, face: 6/69, weights: [-3, -3, -2, 0, 0, -2], discriminant: 1
codim: 5, face: 7/69, weights: [-1, -2, -1, 1, 1, 1], discriminant: 1
codim: 5, face: 8/69, weights: [-1, -1, -3, -1, -1, 0], discriminant: 1
codim: 5, face: 9/69, weights: [-2, -1, -3, -1, 0, -2], discriminant: 1
codim: 5, face: 10/69, weights: [0, 0, -2, 0, 1, 1], discriminant: 1
codim: 5, face: 11/69, weights: [-3, -1, 0, -2, -2, -1], discriminant: 1
codim: 5, face: 12/69, weights: [-2, 0, 1, 0, 1, 0], discriminant: 1
codim: 5, face: 13/69, weights: [-2, -2, -1, -3, -1, 0], discriminant: 1
codim: 5, face: 14/69, weights: [-3, -2, 0, -1, 0, -2], discriminant: 1
codim: 5, face: 15/69, weights: [-1, 0, -2, -3, -2, 0], discriminant: 1
codim: 5, face: 16/69, weights: [-2, 0, -1, -3, -1, -2], discriminant: 1
codim: 5, face: 17/69, weights: [0, 1, 0, -2, 0, 1], discriminant: 1
codim: 5, face: 18/69, weights: [-2, 0, 1, 1, 0, 0], discriminant: 1
codim: 5, face: 19/69, weights: [-2, -2, 0, -1, -3, -1], discriminant: 1
codim: 5, face: 20/69, weights: [-3, -2, 0, 0, -2, -3], discriminant: 1
codim: 5, face: 21/69, weights: [-1, 0, -1, -1, -3, -1], discriminant: 1
codim: 5, face: 22/69, weights: [-2, 0, -1, 0, -2, -3], discriminant: 1
codim: 5, face: 23/69, weights: [-2, 0, 0, -2, -3, -3], discriminant: 1
codim: 5, face: 24/69, weights: [0, 1, 1, 0, -2, 0], discriminant: 1
codim: 5, face: 25/69, weights: [-1, 1, 1, 1, -1, -2], discriminant: 1
codim: 5, face: 26/69, weights: [-2, -1, 1, 1, 1, -1], discriminant: 1
codim: 5, face: 27/69, weights: [0, 0, 2, 2, 2, 2], discriminant: 1
codim: 5, face: 28/69, weights: [1, 2, 1, 2, 2, 2], discriminant: 1
codim: 5, face: 29/69, weights: [1, 2, 2, 1, 2, 2], discriminant: 1
codim: 5, face: 30/69, weights: [1, 2, 2, 2, 1, 2], discriminant: 1
codim: 5, face: 31/69, weights: [0, 2, 2, 2, 2, 0], discriminant: 1
codim: 5, face: 32/69, weights: [-1, -3, -1, -2, -2, 0], discriminant: 1
codim: 5, face: 33/69, weights: [-1, -3, -1, -1, 0, -1], discriminant: 1
codim: 5, face: 34/69, weights: [0, -2, 0, 0, 1, 1], discriminant: 1
codim: 5, face: 35/69, weights: [0, -2, -3, -3, -2, 0], discriminant: 1
codim: 5, face: 36/69, weights: [0, -2, -3, -2, 0, -1], discriminant: 1
codim: 5, face: 37/69, weights: [1, -1, -2, -1, 1, 1], discriminant: 1
codim: 5, face: 38/69, weights: [0, -1, -1, -3, -1, -1], discriminant: 1
codim: 5, face: 39/69, weights: [1, 0, 0, -2, 0, 1], discriminant: 1
codim: 5, face: 40/69, weights: [-1, -3, -1, 0, -2, -2], discriminant: 1
codim: 5, face: 41/69, weights: [0, -2, 0, 1, 0, 1], discriminant: 1
codim: 5, face: 42/69, weights: [0, -2, -2, -1, -3, -1], discriminant: 1
codim: 5, face: 43/69, weights: [0, -1, 0, -2, -3, -2], discriminant: 1
codim: 5, face: 44/69, weights: [1, 0, 1, 0, -2, 0], discriminant: 1
codim: 5, face: 45/69, weights: [0, -2, 0, 1, 1, 0], discriminant: 1
codim: 5, face: 46/69, weights: [-1, -2, -2, 0, -1, -3], discriminant: 1
codim: 5, face: 47/69, weights: [-1, -1, 0, -1, -1, -3], discriminant: 1
codim: 5, face: 48/69, weights: [0, 0, 1, 1, 0, -2], discriminant: 1
codim: 5, face: 49/69, weights: [2, 0, 0, 2, 2, 2], discriminant: 1
codim: 5, face: 50/69, weights: [2, 1, 2, 1, 2, 2], discriminant: 1
codim: 5, face: 51/69, weights: [2, 1, 2, 2, 1, 2], discriminant: 1
codim: 5, face: 52/69, weights: [2, 1, 2, 2, 2, 1], discriminant: 1
codim: 5, face: 53/69, weights: [0, -1, -3, -1, -2, -2], discriminant: 1
codim: 5, face: 54/69, weights: [1, 0, -2, 0, 0, 1], discriminant: 1
codim: 5, face: 55/69, weights: [0, 0, -2, -3, -3, -2], discriminant: 1
codim: 5, face: 56/69, weights: [1, 1, -1, -2, -1, 1], discriminant: 1
codim: 5, face: 57/69, weights: [1, 1, 0, 0, -2, 0], discriminant: 1
codim: 5, face: 58/69, weights: [1, 0, -2, 0, 1, 0], discriminant: 1
codim: 5, face: 59/69, weights: [-1, 0, -2, -2, -1, -3], discriminant: 1
codim: 5, face: 60/69, weights: [0, 1, 0, 1, 0, -2], discriminant: 1
codim: 5, face: 61/69, weights: [2, 2, 0, 0, 2, 2], discriminant: 1
