codim: 5, face: 1/10, weights: [-1, 0, 0, 0, 0], discriminant: M1
codim: 5, face: 2/10, weights: [1, 2, 2, 2, 2], discriminant: 1
codim: 5, face: 3/10, weights: [0, -1, 0, 0, 0], discriminant: M2
codim: 5, face: 4/10, weights: [2, 1, 2, 2, 2], discriminant: 1
codim: 5, face: 5/10, weights: [0, 0, -1, 0, 0], discriminant: M3
codim: 5, face: 6/10, weights: [2, 2, 1, 2, 2], discriminant: 1
codim: 5, face: 7/10, weights: [0, 0, 0, -1, 0], discriminant: M4
codim: 5, face: 8/10, weights: [2, 2, 2, 1, 2], discriminant: 1
codim: 5, face: 9/10, weights: [0, 0, 0, 0, -1], discriminant: M5
codim: 5, face: 10/10, weights: [2, 2, 2, 2, 1], discriminant: 1
codim: 4, face: 1/25, weights: [0, 1, 1, 1, 1], discriminant: 1
codim: 4, face: 2/25, weights: [-1, -1, 0, 0, 0], discriminant: M1^2 - 2*M1*M2 + M1*m2 - 2*M2^2 - 2*M2*m2 + m2^2
codim: 4, face: 3/25, weights: [-1, 0, -1, 0, 0], discriminant: M1^2 - 2*M1*M3 + M1*s23 - 2*M3^2 - 2*M3*s23 + s23^2
codim: 4, face: 4/25, weights: [-1, 0, 0, -1, 0], discriminant: M1^2 - 2*M1*M4 + M1*s51 - 2*M4^2 - 2*M4*s51 + s51^2
codim: 4, face: 5/25, weights: [-1, 0, 0, 0, -1], discriminant: M1^2 - 2*M1*M5 + M1*m1 - 2*M5^2 - 2*M5*m1 + m1^2
codim: 4, face: 6/25, weights: [1, 1, 2, 2, 2], discriminant: 1
codim: 4, face: 7/25, weights: [1, 2, 1, 2, 2], discriminant: 1
codim: 4, face: 8/25, weights: [1, 2, 2, 1, 2], discriminant: 1
codim: 4, face: 9/25, weights: [1, 2, 2, 2, 1], discriminant: 1
codim: 4, face: 10/25, weights: [1, 0, 1, 1, 1], discriminant: 1
codim: 4, face: 11/25, weights: [0, -1, -1, 0, 0], discriminant: M2^2 - 2*M2*M3 + M2*m3 - 2*M3^2 - 2*M3*m3 + m3^2
codim: 4, face: 12/25, weights: [0, -1, 0, -1, 0], discriminant: M2^2 - 2*M2*M4 + M2*s34 - 2*M4^2 - 2*M4*s34 + s34^2
