codim: 5, face: 1/15, weights: [-2, -2, 0, 0, 0], discriminant: m2
codim: 5, face: 2/15, weights: [-2, 0, -2, 0, 0], discriminant: s23
codim: 5, face: 3/15, weights: [-2, 0, 0, -2, 0], discriminant: s51
codim: 5, face: 4/15, weights: [-2, 0, 0, 0, -2], discriminant: m1
codim: 5, face: 5/15, weights: [0, 2, 2, 2, 2], discriminant: 1
codim: 5, face: 6/15, weights: [0, -2, -2, 0, 0], discriminant: m3
codim: 5, face: 7/15, weights: [0, -2, 0, -2, 0], discriminant: s34
codim: 5, face: 8/15, weights: [0, -2, 0, 0, -2], discriminant: s12
codim: 5, face: 9/15, weights: [2, 0, 2, 2, 2], discriminant: 1
codim: 5, face: 10/15, weights: [0, 0, -2, -2, 0], discriminant: m4
codim: 5, face: 11/15, weights: [0, 0, -2, 0, -2], discriminant: s45
codim: 5, face: 12/15, weights: [2, 2, 0, 2, 2], discriminant: 1
codim: 5, face: 13/15, weights: [0, 0, 0, -2, -2], discriminant: m5
codim: 5, face: 14/15, weights: [2, 2, 2, 0, 2], discriminant: 1
codim: 5, face: 15/15, weights: [2, 2, 2, 2, 0], discriminant: 1
codim: 4, face: 1/60, weights: [-2, -1, -1, 0, 0], discriminant: 1
codim: 4, face: 2/60, weights: [-2, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 3/60, weights: [-2, -1, 0, 0, -1], discriminant: 1
codim: 4, face: 4/60, weights: [-1, 0, 1, 1, 1], discriminant: 1
codim: 4, face: 5/60, weights: [-1, -2, -1, 0, 0], discriminant: 1
codim: 4, face: 6/60, weights: [-1, -2, 0, -1, 0], discriminant: 1
codim: 4, face: 7/60, weights: [-1, -2, 0, 0, -1], discriminant: 1
codim: 4, face: 8/60, weights: [0, -1, 1, 1, 1], discriminant: 1
codim: 4, face: 9/60, weights: [-2, 0, -1, -1, 0], discriminant: 1
codim: 4, face: 10/60, weights: [-2, 0, -1, 0, -1], discriminant: 1
codim: 4, face: 11/60, weights: [-1, 1, 0, 1, 1], discriminant: 1
codim: 4, face: 12/60, weights: [-1, -1, -2, 0, 0], discriminant: 1
codim: 4, face: 13/60, weights: [-1, 0, -2, -1, 0], discriminant: 1
codim: 4, face: 14/60, weights: [-1, 0, -2, 0, -1], discriminant: 1
codim: 4, face: 15/60, weights: [0, 1, -1, 1, 1], discriminant: 1
codim: 4, face: 16/60, weights: [-2, 0, 0, -1, -1], discriminant: 1
codim: 4, face: 17/60, weights: [-1, 1, 1, 0, 1], discriminant: 1
codim: 4, face: 18/60, weights: [-1, -1, 0, -2, 0], discriminant: 1
codim: 4, face: 19/60, weights: [-1, 0, -1, -2, 0], discriminant: 1
codim: 4, face: 20/60, weights: [-1, 0, 0, -2, -1], discriminant: 1
codim: 4, face: 21/60, weights: [0, 1, 1, -1, 1], discriminant: 1
codim: 4, face: 22/60, weights: [-1, 1, 1, 1, 0], discriminant: 1
codim: 4, face: 23/60, weights: [-1, -1, 0, 0, -2], discriminant: 1
codim: 4, face: 24/60, weights: [-1, 0, -1, 0, -2], discriminant: 1
codim: 4, face: 25/60, weights: [-1, 0, 0, -1, -2], discriminant: 1
codim: 4, face: 26/60, weights: [0, 1, 1, 1, -1], discriminant: 1
codim: 4, face: 27/60, weights: [1, 1, 2, 2, 2], discriminant: 1
codim: 4, face: 28/60, weights: [1, 2, 1, 2, 2], discriminant: 1
codim: 4, face: 29/60, weights: [1, 2, 2, 1, 2], discriminant: 1
codim: 4, face: 30/60, weights: [1, 2, 2, 2, 1], discriminant: 1
codim: 4, face: 31/60, weights: [0, -2, -1, -1, 0], discriminant: 1
codim: 4, face: 32/60, weights: [0, -2, -1, 0, -1], discriminant: 1
codim: 4, face: 33/60, weights: [1, -1, 0, 1, 1], discriminant: 1
codim: 4, face: 34/60, weights: [0, -1, -2, -1, 0], discriminant: 1
codim: 4, face: 35/60, weights: [0, -1, -2, 0, -1], discriminant: 1
codim: 4, face: 36/60, weights: [1, 0, -1, 1, 1], discriminant: 1
codim: 4, face: 37/60, weights: [0, -2, 0, -1, -1], discriminant: 1
codim: 4, face: 38/60, weights: [1, -1, 1, 0, 1], discriminant: 1
codim: 4, face: 39/60, weights: [0, -1, -1, -2, 0], discriminant: 1
codim: 4, face: 40/60, weights: [0, -1, 0, -2, -1], discriminant: 1
codim: 4, face: 41/60, weights: [1, 0, 1, -1, 1], discriminant: 1
codim: 4, face: 42/60, weights: [1, -1, 1, 1, 0], discriminant: 1
codim: 4, face: 43/60, weights: [0, -1, -1, 0, -2], discriminant: 1
codim: 4, face: 44/60, weights: [0, -1, 0, -1, -2], discriminant: 1
codim: 4, face: 45/60, weights: [1, 0, 1, 1, -1], discriminant: 1
codim: 4, face: 46/60, weights: [2, 1, 1, 2, 2], discriminant: 1
codim: 4, face: 47/60, weights: [2, 1, 2, 1, 2], discriminant: 1
codim: 4, face: 48/60, weights: [2, 1, 2, 2, 1], discriminant: 1
codim: 4, face: 49/60, weights: [0, 0, -2, -1, -1], discriminant: 1
codim: 4, face: 50/60, weights: [1, 1, -1, 0, 1], discriminant: 1
codim: 4, face: 51/60, weights: [0, 0, -1, -2, -1], discriminant: 1
codim: 4, face: 52/60, weights: [1, 1, 0, -1, 1], discriminant: 1
codim: 4, face: 53/60, weights: [1, 1, -1, 1, 0], discriminant: 1
codim: 4, face: 54/60, weights: [0, 0, -1, -1, -2], discriminant: 1
codim: 4, face: 55/60, weights: [1, 1, 0, 1, -1], discriminant: 1
codim: 4, face: 56/60, weights: [2, 2, 1, 1, 2], discriminant: 1
codim: 4, face: 57/60, weights: [2, 2, 1, 2, 1], discriminant: 1
codim: 4, face: 58/60, weights: [1, 1, 1, -1, 0], discriminant: 1
codim: 4, face: 59/60, weights: [1, 1, 1, 0, -1], discriminant: 1
codim: 4, face: 60/60, weights: [2, 2, 2, 1, 1], discriminant: 1
codim: 3, face: 1/80, weights: [-2, -1, -1, -1, 0], discriminant: 1
codim: 3, face: 2/80, weights: [-2, -1, -1, 0, -1], discriminant: 1
codim: 3, face: 3/80, weights: [-1, 0, 0, 1, 1], discriminant: 1
codim: 3, face: 4/80, weights: [-1, -1, -1, 0, 0], discriminant: 1
codim: 3, face: 5/80, weights: [-2, -1, 0, -1, -1], discriminant: 1
codim: 3, face: 6/80, weights: [-1, 0, 1, 0, 1], discriminant: 1
codim: 3, face: 7/80, weights: [-1, -1, 0, -1, 0], discriminant: 1
codim: 3, face: 8/80, weights: [-1, 0, 1, 1, 0], discriminant: 1
codim: 3, face: 9/80, weights: [-1, -1, 0, 0, -1], discriminant: 1
codim: 3, face: 10/80, weights: [0, 0, 1, 1, 1], discriminant: 1
codim: 3, face: 11/80, weights: [-1, -2, -1, -1, 0], discriminant: 1
codim: 3, face: 12/80, weights: [-1, -2, -1, 0, -1], discriminant: 1
codim: 3, face: 13/80, weights: [0, -1, 0, 1, 1], discriminant: 1
codim: 3, face: 14/80, weights: [-1, -2, 0, -1, -1], discriminant: 1
codim: 3, face: 15/80, weights: [0, -1, 1, 0, 1], discriminant: 1
codim: 3, face: 16/80, weights: [0, -1, 1, 1, 0], discriminant: 1
codim: 3, face: 17/80, weights: [-2, 0, -1, -1, -1], discriminant: 1
codim: 3, face: 18/80, weights: [-1, 1, 0, 0, 1], discriminant: 1
codim: 3, face: 19/80, weights: [-1, 0, -1, -1, 0], discriminant: 1
codim: 3, face: 20/80, weights: [-1, 1, 0, 1, 0], discriminant: 1
codim: 3, face: 21/80, weights: [-1, 0, -1, 0, -1], discriminant: 1
codim: 3, face: 22/80, weights: [0, 1, 0, 1, 1], discriminant: 1
codim: 3, face: 23/80, weights: [-1, -1, -2, -1, 0], discriminant: 1
codim: 3, face: 24/80, weights: [-1, -1, -2, 0, -1], discriminant: 1
codim: 3, face: 25/80, weights: [0, 0, -1, 1, 1], discriminant: 1
codim: 3, face: 26/80, weights: [-1, 0, -2, -1, -1], discriminant: 1
codim: 3, face: 27/80, weights: [0, 1, -1, 0, 1], discriminant: 1
codim: 3, face: 28/80, weights: [0, 1, -1, 1, 0], discriminant: 1
codim: 3, face: 29/80, weights: [-1, 1, 1, 0, 0], discriminant: 1
codim: 3, face: 30/80, weights: [-1, 0, 0, -1, -1], discriminant: 1
codim: 3, face: 31/80, weights: [0, 1, 1, 0, 1], discriminant: 1
codim: 3, face: 32/80, weights: [-1, -1, -1, -2, 0], discriminant: 1
codim: 3, face: 33/80, weights: [-1, -1, 0, -2, -1], discriminant: 1
codim: 3, face: 34/80, weights: [0, 0, 1, -1, 1], discriminant: 1
codim: 3, face: 35/80, weights: [-1, 0, -1, -2, -1], discriminant: 1
codim: 3, face: 36/80, weights: [0, 1, 0, -1, 1], discriminant: 1
codim: 3, face: 37/80, weights: [0, 1, 1, -1, 0], discriminant: 1
codim: 3, face: 38/80, weights: [0, 1, 1, 1, 0], discriminant: 1
codim: 3, face: 39/80, weights: [-1, -1, -1, 0, -2], discriminant: 1
codim: 3, face: 40/80, weights: [-1, -1, 0, -1, -2], discriminant: 1
codim: 3, face: 41/80, weights: [0, 0, 1, 1, -1], discriminant: 1
codim: 3, face: 42/80, weights: [-1, 0, -1, -1, -2], discriminant: 1
codim: 3, face: 43/80, weights: [0, 1, 0, 1, -1], discriminant: 1
codim: 3, face: 44/80, weights: [0, 1, 1, 0, -1], discriminant: 1
codim: 3, face: 45/80, weights: [1, 1, 1, 2, 2], discriminant: 1
codim: 3, face: 46/80, weights: [1, 1, 2, 1, 2], discriminant: 1
codim: 3, face: 47/80, weights: [1, 1, 2, 2, 1], discriminant: 1
codim: 3, face: 48/80, weights: [1, 2, 1, 1, 2], discriminant: 1
codim: 3, face: 49/80, weights: [1, 2, 1, 2, 1], discriminant: 1
codim: 3, face: 50/80, weights: [1, 2, 2, 1, 1], discriminant: 1
codim: 3, face: 51/80, weights: [0, -2, -1, -1, -1], discriminant: 1
codim: 3, face: 52/80, weights: [1, -1, 0, 0, 1], discriminant: 1
codim: 3, face: 53/80, weights: [0, -1, -1, -1, 0], discriminant: 1
codim: 3, face: 54/80, weights: [1, -1, 0, 1, 0], discriminant: 1
codim: 3, face: 55/80, weights: [0, -1, -1, 0, -1], discriminant: 1
codim: 3, face: 56/80, weights: [1, 0, 0, 1, 1], discriminant: 1
codim: 3, face: 57/80, weights: [0, -1, -2, -1, -1], discriminant: 1
