codim: 5, face: 1/10, weights: [-3, -2, -3, -1, -1], discriminant: s23
codim: 5, face: 2/10, weights: [-3, -1, -1, -3, -2], discriminant: s51
codim: 5, face: 3/10, weights: [-1, 1, 2, 2, 1], discriminant: 1
codim: 5, face: 4/10, weights: [-1, -3, -2, -3, -1], discriminant: s34
codim: 5, face: 5/10, weights: [-2, -3, -1, -1, -3], discriminant: s12
codim: 5, face: 6/10, weights: [1, -1, 1, 2, 2], discriminant: 1
codim: 5, face: 7/10, weights: [-1, -1, -3, -2, -3], discriminant: s45
codim: 5, face: 8/10, weights: [2, 1, -1, 1, 2], discriminant: 1
codim: 5, face: 9/10, weights: [2, 2, 1, -1, 1], discriminant: 1
codim: 5, face: 10/10, weights: [1, 2, 2, 1, -1], discriminant: 1
codim: 4, face: 1/35, weights: [-3, -1, -2, -2, -1], discriminant: 1
codim: 4, face: 2/35, weights: [-2, 0, 0, 1, 0], discriminant: 1
codim: 4, face: 3/35, weights: [-2, -3, -3, -2, 0], discriminant: 1
codim: 4, face: 4/35, weights: [-3, -3, -2, 0, -2], discriminant: 1
codim: 4, face: 5/35, weights: [-1, -2, -1, 1, 1], discriminant: 1
codim: 4, face: 6/35, weights: [-2, -1, -3, -1, -2], discriminant: 1
codim: 4, face: 7/35, weights: [0, 0, -2, 0, 1], discriminant: 1
codim: 4, face: 8/35, weights: [-2, 0, 1, 0, 0], discriminant: 1
codim: 4, face: 9/35, weights: [-2, -2, -1, -3, -1], discriminant: 1
codim: 4, face: 10/35, weights: [-3, -2, 0, -2, -3], discriminant: 1
codim: 4, face: 11/35, weights: [-2, 0, -2, -3, -3], discriminant: 1
codim: 4, face: 12/35, weights: [0, 1, 0, -2, 0], discriminant: 1
codim: 4, face: 13/35, weights: [-1, 1, 1, -1, -2], discriminant: 1
codim: 4, face: 14/35, weights: [-2, -1, 1, 1, -1], discriminant: 1
codim: 4, face: 15/35, weights: [0, 0, 2, 2, 2], discriminant: 1
codim: 4, face: 16/35, weights: [1, 2, 1, 2, 2], discriminant: 1
codim: 4, face: 17/35, weights: [1, 2, 2, 1, 2], discriminant: 1
codim: 4, face: 18/35, weights: [0, 2, 2, 2, 0], discriminant: 1
codim: 4, face: 19/35, weights: [-1, -3, -1, -2, -2], discriminant: 1
codim: 4, face: 20/35, weights: [0, -2, 0, 0, 1], discriminant: 1
codim: 4, face: 21/35, weights: [0, -2, -3, -3, -2], discriminant: 1
codim: 4, face: 22/35, weights: [1, -1, -2, -1, 1], discriminant: 1
codim: 4, face: 23/35, weights: [1, 0, 0, -2, 0], discriminant: 1
codim: 4, face: 24/35, weights: [0, -2, 0, 1, 0], discriminant: 1
codim: 4, face: 25/35, weights: [-1, -2, -2, -1, -3], discriminant: 1
codim: 4, face: 26/35, weights: [0, 0, 1, 0, -2], discriminant: 1
codim: 4, face: 27/35, weights: [2, 0, 0, 2, 2], discriminant: 1
codim: 4, face: 28/35, weights: [2, 1, 2, 1, 2], discriminant: 1
codim: 4, face: 29/35, weights: [2, 1, 2, 2, 1], discriminant: 1
codim: 4, face: 30/35, weights: [1, 0, -2, 0, 0], discriminant: 1
codim: 4, face: 31/35, weights: [1, 1, -1, -2, -1], discriminant: 1
codim: 4, face: 32/35, weights: [0, 1, 0, 0, -2], discriminant: 1
codim: 4, face: 33/35, weights: [2, 2, 0, 0, 2], discriminant: 1
codim: 4, face: 34/35, weights: [2, 2, 1, 2, 1], discriminant: 1
codim: 4, face: 35/35, weights: [2, 2, 2, 0, 0], discriminant: 1
codim: 3, face: 1/55, weights: [-2, 0, 0, 0, 0], discriminant: 1
codim: 3, face: 2/55, weights: [-2, -2, -2, -2, 0], discriminant: 1
codim: 3, face: 3/55, weights: [-3, -2, -1, -1, -2], discriminant: 1
codim: 3, face: 4/55, weights: [-2, 0, -2, -2, -2], discriminant: 1
codim: 3, face: 5/55, weights: [0, 1, -1, -1, 1], discriminant: s23 - s51
codim: 3, face: 6/55, weights: [-2, -1, 0, 1, -1], discriminant: 1
codim: 3, face: 7/55, weights: [-1, -1, 0, 1, 1], discriminant: 1
codim: 3, face: 8/55, weights: [-1, 1, 0, 1, -1], discriminant: s23 - s45
codim: 3, face: 9/55, weights: [0, 1, 0, 1, 1], discriminant: 1
codim: 3, face: 10/55, weights: [-2, -3, -2, -1, -1], discriminant: 1
codim: 3, face: 11/55, weights: [-1, -2, -1, 0, 1], discriminant: 1
codim: 3, face: 12/55, weights: [-1, -2, -3, -2, -1], discriminant: 1
codim: 3, face: 13/55, weights: [0, -1, -2, -1, 1], discriminant: 1
codim: 3, face: 14/55, weights: [-1, -2, -1, 1, 0], discriminant: 1
codim: 3, face: 15/55, weights: [-2, -2, -2, 0, -2], discriminant: 1
codim: 3, face: 16/55, weights: [0, -1, -1, 1, 1], discriminant: 1
codim: 3, face: 17/55, weights: [0, 0, -2, 0, 0], discriminant: 1
codim: 3, face: 18/55, weights: [-1, -1, 1, 0, 1], discriminant: s34 - s51
codim: 3, face: 19/55, weights: [-2, -1, 1, 0, -1], discriminant: 1
codim: 3, face: 20/55, weights: [0, 1, 1, 0, 1], discriminant: 1
codim: 3, face: 21/55, weights: [-1, 1, 1, 0, -1], discriminant: 1
codim: 3, face: 22/55, weights: [-2, -2, 0, -2, -2], discriminant: 1
codim: 3, face: 23/55, weights: [-1, -1, -2, -3, -2], discriminant: 1
codim: 3, face: 24/55, weights: [0, 0, 0, -2, 0], discriminant: 1
codim: 3, face: 25/55, weights: [-2, -1, -1, -2, -3], discriminant: 1
codim: 3, face: 26/55, weights: [-1, 0, 1, -1, -2], discriminant: 1
codim: 3, face: 27/55, weights: [0, 1, -1, -2, -1], discriminant: 1
codim: 3, face: 28/55, weights: [-1, 1, 0, -1, -2], discriminant: 1
codim: 3, face: 29/55, weights: [0, 1, 1, -1, -1], discriminant: 1
codim: 3, face: 30/55, weights: [-1, -1, 1, 1, 0], discriminant: 1
codim: 3, face: 31/55, weights: [-1, 0, 1, 1, -1], discriminant: 1
codim: 3, face: 32/55, weights: [1, 1, 1, 2, 2], discriminant: 1
