codim: 4, face: 1/10, weights: [-2, -2, 0, 0], discriminant: m2
codim: 4, face: 2/10, weights: [-2, 0, -2, 0], discriminant: t
codim: 4, face: 3/10, weights: [-2, 0, 0, -2], discriminant: m1
codim: 4, face: 4/10, weights: [0, 2, 2, 2], discriminant: 1
codim: 4, face: 5/10, weights: [0, -2, -2, 0], discriminant: m3
codim: 4, face: 6/10, weights: [0, -2, 0, -2], discriminant: s
codim: 4, face: 7/10, weights: [2, 0, 2, 2], discriminant: 1
codim: 4, face: 8/10, weights: [0, 0, -2, -2], discriminant: m4
codim: 4, face: 9/10, weights: [2, 2, 0, 2], discriminant: 1
codim: 4, face: 10/10, weights: [2, 2, 2, 0], discriminant: 1
codim: 3, face: 1/30, weights: [-2, -1, -1, 0], discriminant: 1
codim: 3, face: 2/30, weights: [-2, -1, 0, -1], discriminant: 1
codim: 3, face: 3/30, weights: [-1, 0, 1, 1], discriminant: 1
codim: 3, face: 4/30, weights: [-1, -2, -1, 0], discriminant: 1
codim: 3, face: 5/30, weights: [-1, -2, 0, -1], discriminant: 1
codim: 3, face: 6/30, weights: [0, -1, 1, 1], discriminant: 1
codim: 3, face: 7/30, weights: [-2, 0, -1, -1], discriminant: 1
codim: 3, face: 8/30, weights: [-1, 1, 0, 1], discriminant: 1
codim: 3, face: 9/30, weights: [-1, -1, -2, 0], discriminant: 1
codim: 3, face: 10/30, weights: [-1, 0, -2, -1], discriminant: 1
codim: 3, face: 11/30, weights: [0, 1, -1, 1], discriminant: 1
codim: 3, face: 12/30, weights: [-1, 1, 1, 0], discriminant: 1
codim: 3, face: 13/30, weights: [-1, -1, 0, -2], discriminant: 1
codim: 3, face: 14/30, weights: [-1, 0, -1, -2], discriminant: 1
codim: 3, face: 15/30, weights: [0, 1, 1, -1], discriminant: 1
codim: 3, face: 16/30, weights: [1, 1, 2, 2], discriminant: 1
codim: 3, face: 17/30, weights: [1, 2, 1, 2], discriminant: 1
codim: 3, face: 18/30, weights: [1, 2, 2, 1], discriminant: 1
codim: 3, face: 19/30, weights: [0, -2, -1, -1], discriminant: 1
codim: 3, face: 20/30, weights: [1, -1, 0, 1], discriminant: 1
codim: 3, face: 21/30, weights: [0, -1, -2, -1], discriminant: 1
codim: 3, face: 22/30, weights: [1, 0, -1, 1], discriminant: 1
codim: 3, face: 23/30, weights: [1, -1, 1, 0], discriminant: 1
codim: 3, face: 24/30, weights: [0, -1, -1, -2], discriminant: 1
codim: 3, face: 25/30, weights: [1, 0, 1, -1], discriminant: 1
codim: 3, face: 26/30, weights: [2, 1, 1, 2], discriminant: 1
codim: 3, face: 27/30, weights: [2, 1, 2, 1], discriminant: 1
codim: 3, face: 28/30, weights: [1, 1, -1, 0], discriminant: 1
codim: 3, face: 29/30, weights: [1, 1, 0, -1], discriminant: 1
codim: 3, face: 30/30, weights: [2, 2, 1, 1], discriminant: 1
codim: 2, face: 1/30, weights: [-2, -1, -1, -1], discriminant: 1
codim: 2, face: 2/30, weights: [-1, 0, 0, 1], discriminant: 1
codim: 2, face: 3/30, weights: [-1, -1, -1, 0], discriminant: 1
codim: 2, face: 4/30, weights: [-1, 0, 1, 0], discriminant: 1
codim: 2, face: 5/30, weights: [-1, -1, 0, -1], discriminant: 1
codim: 2, face: 6/30, weights: [0, 0, 1, 1], discriminant: 1
