codim: 3, face: 226/421, weights: [-1, 0, -1, 0, -1, -1, -1], discriminant: m1^2*m3^2 - 2*m1*m2*m3*m4 - 2*m1*m3*s*t + m2^2*m4^2 - 2*m2*m4*s*t + s^2*t^2
codim: 3, face: 227/421, weights: [-1, 2, 1, 1, 0, 0, 1], discriminant: 1
codim: 3, face: 228/421, weights: [0, 2, 1, 1, 0, 0, 2], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 229/421, weights: [0, 2, 1, 2, 0, 0, 1], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 230/421, weights: [-1, 1, 0, 0, -1, -1, 0], discriminant: 1
codim: 3, face: 231/421, weights: [0, 1, 0, 1, 0, 1, 0], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 232/421, weights: [0, 2, 1, 1, 0, 1, 1], discriminant: 1
codim: 3, face: 233/421, weights: [-1, 0, -1, -1, -2, -1, -1], discriminant: m3
codim: 3, face: 234/421, weights: [0, 1, 0, 0, -1, 1, 0], discriminant: m3
codim: 3, face: 235/421, weights: [0, 2, 1, 1, -1, 0, 1], discriminant: 1
codim: 3, face: 236/421, weights: [0, 1, 0, 0, -1, 0, 1], discriminant: m3
codim: 3, face: 237/421, weights: [0, 1, 0, 1, -1, 0, 0], discriminant: m3
codim: 3, face: 238/421, weights: [-1, -1, -2, -1, -2, -1, -1], discriminant: 1
codim: 3, face: 239/421, weights: [0, 0, -1, 0, -1, 0, 1], discriminant: 1
codim: 3, face: 240/421, weights: [0, 0, -1, 0, -1, 1, 0], discriminant: 1
codim: 3, face: 241/421, weights: [0, 0, -1, 1, -1, 0, 0], discriminant: 1
codim: 3, face: 242/421, weights: [0, 1, -1, 0, -1, 0, 0], discriminant: 1
codim: 3, face: 243/421, weights: [0, 1, 0, 1, 1, 0, 0], discriminant: m1^2 - 2*m1*m2 - 2*m1*s + m2^2 - 2*m2*s + s^2
codim: 3, face: 244/421, weights: [0, 2, 1, 1, 1, 0, 1], discriminant: 1
codim: 3, face: 245/421, weights: [-1, 0, -1, -1, -1, -2, -1], discriminant: m3^2 - 2*m3*m4 - 2*m3*s + m4^2 - 2*m4*s + s^2
codim: 3, face: 246/421, weights: [0, 1, 0, 0, 1, -1, 0], discriminant: m3^2 - 2*m3*m4 - 2*m3*s + m4^2 - 2*m4*s + s^2
codim: 3, face: 247/421, weights: [0, 2, 1, 1, 0, -1, 1], discriminant: 1
codim: 3, face: 248/421, weights: [0, 1, 0, 0, 0, -1, 1], discriminant: m3
codim: 3, face: 249/421, weights: [0, 1, 0, 1, 0, -1, 0], discriminant: s
codim: 3, face: 250/421, weights: [-1, -1, -2, -1, -1, -2, -1], discriminant: 1
codim: 3, face: 251/421, weights: [0, 0, -1, 0, 0, -1, 1], discriminant: 1
codim: 3, face: 252/421, weights: [0, 0, -1, 0, 1, -1, 0], discriminant: 1
codim: 3, face: 253/421, weights: [0, 0, -1, 1, 0, -1, 0], discriminant: 1
codim: 3, face: 254/421, weights: [0, 1, -1, 0, 0, -1, 0], discriminant: 1
codim: 3, face: 255/421, weights: [-2, 0, 0, 0, 0, 0, -2], discriminant: 1
codim: 3, face: 256/421, weights: [-2, -2, -1, -1, -1, -1, -3], discriminant: 1
codim: 3, face: 257/421, weights: [-1, 0, -1, -1, -1, -1, -2], discriminant: m1^2*m3^2 - 2*m1*m2*m3*m4 - 2*m1*m3*s*t + m2^2*m4^2 - 2*m2*m4*s*t + s^2*t^2
codim: 3, face: 258/421, weights: [-1, -1, 0, 0, 0, 1, -2], discriminant: 1
codim: 3, face: 259/421, weights: [0, 1, 0, 0, 0, 1, -1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 3, face: 260/421, weights: [-1, -1, -1, -1, -1, 0, -2], discriminant: m3, m2
